Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
21.36.39(3),FALSE,FALSE,811163,Drawings and Prints,Print,"In the Kitchen (In Der Küche), from Max Liebermann Etchings",,,,,,Author|Artist|Publisher,,R. Graul|Max Liebermann|Photographische Gesellschaft,"German, Berlin 1847–1935 Berlin",,"Graul, R.|Liebermann, Max|Photographische Gesellschaft",,1847      |1910      ,1935      |1910      ,1890,1890,1890,Soft ground etching with drypoint; second state of two,Sheet: 21 1/4 in. × 15 in. (54 × 38.1 cm),,,,,,,,,,,,,,,,,
"Plate: 4 5/16 × 3 1/8 in. (11 × 7.9 cm)""","Museum Accession, transferred from the Library, 1921",,,,,,,,,,,,Books|Prints,,http://www.metmuseum.org/art/collection/search/811163,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
21.36.39(4),FALSE,FALSE,811164,Drawings and Prints,Print,"Returning Flock of Sheep (Heimkehrende Schafherde), from Max Liebermann Etchings",,,,,,Author|Publisher|Artist,,R. Graul|Photographische Gesellschaft|Max Liebermann,"German, Berlin 1847–1935 Berlin",,"Graul, R.|Photographische Gesellschaft|Liebermann, Max",,1910      |1847      ,1910      |1935      ,1887,1887,1887,Soft ground etching with drypoint; fourth state of four,Sheet: 21 3/16 × 15 5/8 in. (53.8 × 39.7 cm),,,,,,,,,,,,,,,,,
"Plate: 3 7/8 × 7 3/4 in. (9.8 × 19.7 cm)""","Museum Accession, transferred from the Library, 1921",,,,,,,,,,,,Books|Prints,,http://www.metmuseum.org/art/collection/search/811164,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
21.36.39(6),FALSE,FALSE,811165,Drawings and Prints,Print,"Woman and Children at a Foot Bridge (Frau Und Kinder An Einem Steg), from Max Liebermann Etchings",,,,,,Artist|Author|Publisher,,Max Liebermann|R. Graul|Photographische Gesellschaft,"German, Berlin 1847–1935 Berlin",,"Liebermann, Max|Graul, R.|Photographische Gesellschaft",,1847      |1910      ,1935      |1910      ,1890,1890,1890,Etching with drypoint; second state of two,Sheet: 21 1/4 × 15 9/16 in. (53.9 × 39.6 cm),,,,,,,,,,,,,,,,,
"Plate: 4 3/4 × 3 9/16 in. (12 × 9.1 cm)""","Museum Accession, transferred from the Library, 1921",,,,,,,,,,,,Books|Prints,,http://www.metmuseum.org/art/collection/search/811165,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
21.36.39(5),FALSE,FALSE,811166,Drawings and Prints,Print,"Farmer (Dengelnder Bauer), from Max Liebermann Etchings",,,,,,Publisher|Author|Artist,,Photographische Gesellschaft|R. Graul|Max Liebermann,"German, Berlin 1847–1935 Berlin",,"Photographische Gesellschaft|Graul, R.|Liebermann, Max",,1910      |1847      ,1910      |1935      ,1890,1890,1890,Soft ground etching with drypoint; third state of three,Sheet: 21 1/4 × 15 1/4 in. (54 × 38.7 cm),,,,,,,,,,,,,,,,,
"Plate: 4 3/8 × 5 7/8 in. (11.1 × 14.9 cm)""","Museum Accession, transferred from the Library, 1921",,,,,,,,,,,,Books|Prints,,http://www.metmuseum.org/art/collection/search/811166,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
2018.452,FALSE,FALSE,811167,Costume Institute,Dress,Dress,French,,,,,Designer,,Pierre Cardin,"French, born San Biagio di Callalta, Italy, 1922",,"Cardin, Pierre",,7/2/22,2022,1969,1969,1969,wool,,"Purchase, Gould Family Foundation Gift, in Memory of Jo Copeland, 2018",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/811167,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
2018.453,FALSE,FALSE,811168,Costume Institute,Sweater,Sweater,British,,,,,Designer|Designer,,Malcolm McLaren|Vivienne Westwood,"British, London 1946–2010 Switzerland|British, born 1941",,"McLaren Malcolm|Westwood, Vivienne",,1946-01-22|1941      ,2010-04-08|2041      ,spring/summer 1983,1983,1983,"wool, metal",,"Purchase, Gould Family Foundation Gift, in Memory of Jo Copeland, 2018",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/811168,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
